implementation,metric,value,unit,percentage,context
baseline,cycles,4045288369850.0,count,,total
baseline,instructions,10283720143596.0,count,,total
baseline,instructions_per_cycle,2.54,ratio,,total
baseline,branches,2326592041270.0,count,,total
baseline,branch_misses,6263808367.0,count,0.27,of_all_branches
baseline,L1_dcache_load_misses,100759817491.0,count,2.64,of_L1_accesses
baseline,L1_dcache_loads,3818199479053.0,count,,total
baseline,LLC_load_misses,5414244334.0,count,,total
baseline,cycles_kernel,12112354722.0,count,,kernel_mode
baseline,cycles_user,4033118942057.0,count,,user_mode
baseline,instructions_kernel,14049613471.0,count,,kernel_mode
baseline,ipc_kernel,1.16,ratio,,kernel_mode
baseline,instructions_user,10270127829751.0,count,,user_mode
baseline,ipc_user,2.55,ratio,,user_mode
baseline,time,900.489204005,seconds,,total
baseline,user_time,898.050953,seconds,,total
baseline,system_time,2.079969,seconds,,total
