implementation,metric,value,unit,percentage,context
generalImprovementsV4,cycles,137943254836.0,count,,total
generalImprovementsV4,instructions,165805538983.0,count,,total
generalImprovementsV4,instructions_per_cycle,1.2,ratio,,total
generalImprovementsV4,branches,35958764412.0,count,,total
generalImprovementsV4,branch_misses,303046222.0,count,0.84,of_all_branches
generalImprovementsV4,L1_dcache_load_misses,689699543.0,count,1.26,of_L1_accesses
generalImprovementsV4,L1_dcache_loads,54892868962.0,count,,total
generalImprovementsV4,LLC_load_misses,245665610.0,count,,total
generalImprovementsV4,cycles_kernel,6835674390.0,count,,kernel_mode
generalImprovementsV4,cycles_user,131083729750.0,count,,user_mode
generalImprovementsV4,instructions_kernel,9261555735.0,count,,kernel_mode
generalImprovementsV4,ipc_kernel,1.35,ratio,,kernel_mode
generalImprovementsV4,instructions_user,156441111531.0,count,,user_mode
generalImprovementsV4,ipc_user,1.19,ratio,,user_mode
generalImprovementsV4,time,35.130961085,seconds,,total
generalImprovementsV4,user_time,33.639506,seconds,,total
generalImprovementsV4,system_time,1.488332,seconds,,total
