implementation,metric,value,unit,percentage,context
hashmap_size_estim,cycles,216579545767.0,count,,total
hashmap_size_estim,instructions,352580039598.0,count,,total
hashmap_size_estim,instructions_per_cycle,1.63,ratio,,total
hashmap_size_estim,branches,74082967708.0,count,,total
hashmap_size_estim,branch_misses,450258564.0,count,0.61,of_all_branches
hashmap_size_estim,L1_dcache_load_misses,1251644311.0,count,1.12,of_L1_accesses
hashmap_size_estim,L1_dcache_loads,111642094162.0,count,,total
hashmap_size_estim,LLC_load_misses,343184193.0,count,,total
hashmap_size_estim,cycles_kernel,16465664455.0,count,,kernel_mode
hashmap_size_estim,cycles_user,200087099533.0,count,,user_mode
hashmap_size_estim,instructions_kernel,20418639874.0,count,,kernel_mode
hashmap_size_estim,ipc_kernel,1.24,ratio,,kernel_mode
hashmap_size_estim,instructions_user,332268170096.0,count,,user_mode
hashmap_size_estim,ipc_user,1.66,ratio,,user_mode
hashmap_size_estim,time,52.198670363,seconds,,total
hashmap_size_estim,user_time,49.078054,seconds,,total
hashmap_size_estim,system_time,3.12013,seconds,,total
