implementation,metric,value,unit,percentage,context
memory,cycles,145444099941.0,count,,total
memory,instructions,192535510736.0,count,,total
memory,instructions_per_cycle,1.32,ratio,,total
memory,branches,41114985124.0,count,,total
memory,branch_misses,385156733.0,count,0.94,of_all_branches
memory,L1_dcache_load_misses,952550911.0,count,1.50,of_L1_accesses
memory,L1_dcache_loads,63605153803.0,count,,total
memory,LLC_load_misses,236396775.0,count,,total
memory,cycles_kernel,7576656653.0,count,,kernel_mode
memory,cycles_user,137891089253.0,count,,user_mode
memory,instructions_kernel,9733940779.0,count,,kernel_mode
memory,ipc_kernel,1.28,ratio,,kernel_mode
memory,instructions_user,182922677740.0,count,,user_mode
memory,ipc_user,1.33,ratio,,user_mode
memory,time,36.059507847,seconds,,total
memory,user_time,34.194833,seconds,,total
memory,system_time,1.864154,seconds,,total
