implementation,metric,value,unit,percentage,context
optimizeio,cycles,167602208933.0,count,,total
optimizeio,instructions,191215217842.0,count,,total
optimizeio,instructions_per_cycle,1.14,ratio,,total
optimizeio,branches,42210918480.0,count,,total
optimizeio,branch_misses,407127115.0,count,0.96,of_all_branches
optimizeio,L1_dcache_load_misses,1060595973.0,count,1.70,of_L1_accesses
optimizeio,L1_dcache_loads,62504155305.0,count,,total
optimizeio,LLC_load_misses,350362483.0,count,,total
optimizeio,cycles_kernel,13025777168.0,count,,kernel_mode
optimizeio,cycles_user,154604154579.0,count,,user_mode
optimizeio,instructions_kernel,16041366483.0,count,,kernel_mode
optimizeio,ipc_kernel,1.23,ratio,,kernel_mode
optimizeio,instructions_user,175311997837.0,count,,user_mode
optimizeio,ipc_user,1.13,ratio,,user_mode
optimizeio,time,42.930065632,seconds,,total
optimizeio,user_time,40.356658,seconds,,total
optimizeio,system_time,2.572041,seconds,,total
