implementation,metric,value,unit,percentage,context
pointer_flag,cycles,76944051541.0,count,,total
pointer_flag,instructions,61579276017.0,count,,total
pointer_flag,instructions_per_cycle,0.8,ratio,,total
pointer_flag,branches,14911703188.0,count,,total
pointer_flag,branch_misses,224778869.0,count,1.51,of_all_branches
pointer_flag,L1_dcache_load_misses,616793073.0,count,4.01,of_L1_accesses
pointer_flag,L1_dcache_loads,15391315654.0,count,,total
pointer_flag,LLC_load_misses,275774401.0,count,,total
pointer_flag,cycles_kernel,4411650602.0,count,,kernel_mode
pointer_flag,cycles_user,72489662482.0,count,,user_mode
pointer_flag,instructions_kernel,6128732162.0,count,,kernel_mode
pointer_flag,ipc_kernel,1.39,ratio,,kernel_mode
pointer_flag,instructions_user,55435525821.0,count,,user_mode
pointer_flag,ipc_user,0.76,ratio,,user_mode
pointer_flag,time,22.674465465,seconds,,total
pointer_flag,user_time,21.596098,seconds,,total
pointer_flag,system_time,1.076004,seconds,,total
