implementation,metric,value,unit,percentage,context
pointer,cycles,131397401339.0,count,,total
pointer,instructions,143249720114.0,count,,total
pointer,instructions_per_cycle,1.09,ratio,,total
pointer,branches,31006547098.0,count,,total
pointer,branch_misses,241574884.0,count,0.78,of_all_branches
pointer,L1_dcache_load_misses,619718099.0,count,1.24,of_L1_accesses
pointer,L1_dcache_loads,49858057189.0,count,,total
pointer,LLC_load_misses,232748443.0,count,,total
pointer,cycles_kernel,4935056263.0,count,,kernel_mode
pointer,cycles_user,126457918299.0,count,,user_mode
pointer,instructions_kernel,5850830316.0,count,,kernel_mode
pointer,ipc_kernel,1.19,ratio,,kernel_mode
pointer,instructions_user,137407941018.0,count,,user_mode
pointer,ipc_user,1.09,ratio,,user_mode
pointer,time,34.431324175,seconds,,total
pointer,user_time,33.474658,seconds,,total
pointer,system_time,0.956075,seconds,,total
