implementation,metric,value,unit,percentage,context
reference,cycles,155418801429.0,count,,total
reference,instructions,235218145390.0,count,,total
reference,instructions_per_cycle,1.51,ratio,,total
reference,branches,51700169384.0,count,,total
reference,branch_misses,1089754401.0,count,2.11,of_all_branches
reference,L1_dcache_load_misses,2214896419.0,count,3.59,of_L1_accesses
reference,L1_dcache_loads,61697069935.0,count,,total
reference,LLC_load_misses,351951190.0,count,,total
reference,cycles_kernel,12837644195.0,count,,kernel_mode
reference,cycles_user,142203162206.0,count,,user_mode
reference,instructions_kernel,8058405983.0,count,,kernel_mode
reference,ipc_kernel,0.63,ratio,,kernel_mode
reference,instructions_user,226154196388.0,count,,user_mode
reference,ipc_user,1.59,ratio,,user_mode
reference,time,10.696389281,seconds,,total
reference,user_time,9.032397,seconds,,total
reference,system_time,1.91584,seconds,,total
