implementation,metric,value,unit,percentage,context
string_encoding,cycles,3477608101315.0,count,,total
string_encoding,instructions,5801907903772.0,count,,total
string_encoding,instructions_per_cycle,1.67,ratio,,total
string_encoding,branches,1248915862902.0,count,,total
string_encoding,branch_misses,2419562600.0,count,0.19,of_all_branches
string_encoding,L1_dcache_load_misses,20547971348.0,count,1.04,of_L1_accesses
string_encoding,L1_dcache_loads,1970709464078.0,count,,total
string_encoding,LLC_load_misses,9492547830.0,count,,total
string_encoding,cycles_kernel,141105533992.0,count,,kernel_mode
string_encoding,cycles_user,3340195715171.0,count,,user_mode
string_encoding,instructions_kernel,132659919355.0,count,,kernel_mode
string_encoding,ipc_kernel,0.94,ratio,,kernel_mode
string_encoding,instructions_user,5688441269539.0,count,,user_mode
string_encoding,ipc_user,1.7,ratio,,user_mode
string_encoding,time,903.568248373,seconds,,total
string_encoding,user_time,867.4168,seconds,,total
string_encoding,system_time,33.115695,seconds,,total
