implementation,metric,value,unit,percentage,context
string_encoding_2,cycles,160367984920.0,count,,total
string_encoding_2,instructions,198107582844.0,count,,total
string_encoding_2,instructions_per_cycle,1.24,ratio,,total
string_encoding_2,branches,42333550817.0,count,,total
string_encoding_2,branch_misses,380248013.0,count,0.90,of_all_branches
string_encoding_2,L1_dcache_load_misses,950333066.0,count,1.46,of_L1_accesses
string_encoding_2,L1_dcache_loads,65126394082.0,count,,total
string_encoding_2,LLC_load_misses,246551106.0,count,,total
string_encoding_2,cycles_kernel,12470043080.0,count,,kernel_mode
string_encoding_2,cycles_user,147904068371.0,count,,user_mode
string_encoding_2,instructions_kernel,15334451776.0,count,,kernel_mode
string_encoding_2,ipc_kernel,1.23,ratio,,kernel_mode
string_encoding_2,instructions_user,182698207857.0,count,,user_mode
string_encoding_2,ipc_user,1.24,ratio,,user_mode
string_encoding_2,time,39.86489507,seconds,,total
string_encoding_2,user_time,37.485677,seconds,,total
string_encoding_2,system_time,2.375852,seconds,,total
